input_text,output_text,input_cmi,output_cmi,delta
1. My phone 突然 **black screen** 了，我试了 **hard reset** 还是没用，真 **头大**！ 2. 这个新 **AI model** 的 **accuracy** 超高，但 **training data** 太 **贵** 了，公司可能 **load** 不动。 3. You 要 **upgrade** 你的 **GPU** 才能跑这款游戏，不然 **fps** 会 **掉得很惨**，真的 **不值**。,"##orororsorsorsororor por por porsorsor porsor por por Por por poror porsororsor por Por Por por Porsorsorkor por porpor por por sin por poryr por porador por por ser por poran por por de por por en por pordor por por per por por van por por mor por por la por por y por por el por por para por por mi por por, por por con por por va por por",18.75,0.0,-18.75
"Last night’s game was insane—**那个三分球太关键了**！ The referee’s call was so controversial, **简直让人无语**。 Our team’s defense **确实进步很大**， but the offense still needs work.","##orororsorsorsororor por por porsorsor por por Por por Por Por Por por poror porsor por Porsor Por porsor Por Poror por Porkor por por mor por porpor por por sin por porno por por de por por, por por la por por mi por por con por porkor por Por sin por Por mor por Por de por Por, por Porno por Por mi por Por con por Por la por Porpor por",0.0,0.0,0.0
"1. After that **绝杀进球** *yìjī*, the whole stadium just **炸锅了**—you could feel the energy even from the TV! 2. His **传球** *zhùanqiú* vision is next-level, always **找到** the gap before the defense even reacts. 3. They **输在了** *shū zài le* the last-minute penalty, but honestly, the ref’s call was **有点儿** *yǒudiǎnr* questionable.",##ntntntantntntintintintntntantiantiantiantantiantintnt sin sin sinyalyalyal sin sin cor cor coryalyal cor cor por por por sin sin por por Por por por cor cor sin sinpon sin sinyo por porpor por por per por sin por Por Por por Por cor por Por sin sin Por por sin cor sin por cor por sin Por Por Por sin porpor sin sinpor por sinyo sin sin y por,0.0,0.0,0.0
"I was watching the NBA finals last night, 真的太精彩了！ The Lakers’ defense was on fire, 但勇士队还是顶住了压力。 You should’ve seen Curry’s three-pointer—绝对是决定性的一球！",##ntntntintintintntntantntnt sin sin sin cor cor cor sin sinint sin sin por por por cor cor por por Por por por sin sin con por porpor por por per por por con por Por Por Por por Por sin sin Por por sin cor por cor sin por sin por Porpor por Por cor por sin con sin sin de de por por de por sin Por Por sin porpor Por porporpor por cor por Por con sin por,14.28571428571429,0.0,-14.28571428571429
"1. I was 刚想说 you should come with us, 但是 suddenly realized I forgot my wallet at home. 2. 这个weekend我打算 go hiking in the mountains, 顺便 take some nice photos for my blog. 3. She always 爱show off her new gadgets, but 这次 her phone actually 很有用 during the trip.",##eateateatintintinteateat nat nat natintintyteyte nat natyteyteyteintint nat natynynynyteyteynynintintynyn nat natytytyteyteytynynytytytynyteytyteynyteynytynytyteyt natyteynintyteyn natyteytintintytytytiyteyteytiynynynaynynyneynynyniynynyrynynytiyteynytiyn,14.893617021276595,0.0,-14.893617021276595
"I just upgraded my phone, 但是系统还是有点卡。 The new AI tool saves me hours every week, 真的太方便了。 Cloud storage prices keep dropping, 所以我决定多买一些空间。",##janjanjanjajajajanjanjojajajojajojojojijojojajnojojojjojoejojojonojojoljjojovojjojoinojojoljejojojnojoejoejojojnojnojojjjoejojnojojnoejojojjnojononojojjijoejojjojnojjojejojoejonojojnojnijojo lojojo gojojovojojo,13.636363636363635,0.0,-13.636363636363635
1. 我昨天在supermarket买了好多东西，结果发现**忘带钱包**了，super awkward！ 2. 这个app真的**太好用了**，user interface设计得很清晰，**一点都不卡**。 3. 他总是**说到做到**，never lets me down，**这种人现在真的不多见了**。,"##orororsorsorsororor por por porsorsor porsor por por Por por poror porsoror por Por Por por Porsor pororsor por Poror pororor Por porsorkor por por sin por porpor por por per por por de por por en por por con por por la por por cor por por mor por poran por por y por por van por por, por por va por por el por porkor por Por sin por",0.0,0.0,0.0
"The Lakers 今年真的太强了，希望他们能拿冠军。 I watched the NBA finals last night, 那场比赛简直太精彩了！ My favorite player is Curry, 他的三分球百发百中。",##omomomomsomomkomomomcomomomodododkomkomkomomkomkomcomkomkomododomkomcomcomcomkomomcomcomomcomkomcomomkomodomomvorvorvorododvorvorkomkomvorvoromomkorkorkorkomkomkorkorvorvorkorkoromkomkorkomomodomcomvorvorcomkomodkorkorododkorkomcomododcomcomodkomvor,17.647058823529417,0.0,-17.647058823529417
昨天的NBA总决赛太精彩了，LeBron的表现简直是carry全场！ 他们队的防守策略完全崩了，让对手三分球像rain down一样。 决赛MVP肯定是他，不过下赛季得看看新秀能不能bring some fresh energy。,##orororkorkorkororor cor corkorkor cor cor cororkororkor corkor coror cororor kor cor cor por cor cor kor corkor kor cor korkor cor kor kor cor por por por cor kor por porkorkor kor kor korkorkor por por kor kor porkor cor porkor korkor kor por corkor por cor por kor coror por por Por por por de por poror corkoror cor koror cor por,42.85714285714286,0.0,-42.85714285714286
1. 昨天的比赛太**clutch**了，最后一秒**buzzer beater**直接**reverse sweep**对手，简直**legendary**！ 2. 这支球队的**defense**实在太强，每次**fast break**都被他们**lock down**，完全没法**score**啊。 3. 教练说我的**stamina**还不够，让我每天**run drills**至少两小时，不然**starting lineup**的位置肯定**保不住**了。,"##orororsorsorsororor porsorsor por por poror por porsor porsororsor porororkorsorsorkor por por Por por porkorsor porkor porsorkorkorsorkororsorkorsoror pororkorkorkor porkorkoror porkorororcorsorsor cor por porcor por porpor por por sin sin por por per por poran por por mor por porno por por de por por, por",0.0,0.0,0.0
"I was thinking about dinner last night, 但是冰箱里什么都没有。 You should check the weather before heading out, 今天说不定会下雨。 She promised to call me back, 结果又放了我鸽子。",",,, y y y por por por y a a a y y de de de y y e y y van van van de de van de van van Van van van y van Van Van Van van Van Von van van von van van va van vanvan van van al van vangen van van ende van van vele van van die van van ver van vanvon van van der van vann van vanvol van vanl van van den van van vol van van vand van",12.5,0.0,-12.5
"1. After that **绝杀进球** *yìjī*, the whole stadium just **炸了**—fans were screaming like crazy! 2. He **受伤** last season but **康复得特别快**, now his **三分球** accuracy is even better than before. 3. The coach kept yelling **""加油！""** during the timeout, but our **防守** *fángshǒu* still collapsed in the last quarter.","##ntntntntrantntntontontontntntarntontontarntarntarntntontarntntarntarnto por por por Por Por Por por Por por porntar por por per por por sin por porpor por por con por por de por porcant por porno por por en por por, por por mor por poran por por va por por ser por por para por por a por por y por por cor por por la por porkor por por van",0.0,0.0,0.0
"I just upgraded my phone to the latest model, **这个屏幕真的太清晰了**。 **手机发热问题** seems much better now after the software patch. You can try enabling **暗色模式** in the settings for better battery life.","##nononontontontonono go go gononoronono lo go go Go go goro go go lo lo lo gono gonorororo gono lo lono gororo lo go lo goro lo loro go lonono ro go go por go go, go go do go goo go go GO go gojo go go ro gorono go,, go, lo lo,,,nono,, lo",0.0,0.0,0.0
这场比赛的最后五分钟太紧张了，我心跳都快停了。 The referee’s call was absolutely controversial—明明是手球，怎么可能不吹？ 他们队的新外援表现真不错，next season 估计能拿MVP。,##ororororeoreoreororkorkorkororor cor cor cororor por por pororkoror cororkor cor cor por por cor corkorkor coror corkoror porororcorkor corkor cor por cor poror cor porkorkor por por Por por porkor poror porkor cor kor cor corcorkorkor kor por porcor cor cor korkorkorcor corkor kor coror por corkor porkororkor,40.0,0.0,-40.0
昨天我去公园散步，真的超级放松。 But then I suddenly remembered I had a meeting at 3 PM—完全忘了！ 赶紧打车回家，luckily the traffic wasn’t too bad.,##rrrostostostrostrostrostostostostiostostralostost corostostostaostost korostostlostostrostostiostrostostrostralostrost corostrostostaostrostlostostostostoostostriteostostrstostostrostrostroyostost osostost otostostorostostobostostosostostocostostnolostostnostostostosteostostogueostostrodostostodi,16.666666666666664,0.0,-16.666666666666664
"The new AI model 真的太强了，处理复杂任务一点都不费劲。 I tried debugging the code for hours, 最后发现只是少了个分号。 Their latest smartphone 续航能力惊人，but the camera still needs improvement.",##janjanjanjajajajanjanjatjajajatjatjatjajatjanjajanjajatjajanjatjatjanjanostostjaostostostostaostostnostostostlostostostostiostost korostostkorostostrostostostostoostostvojostost porostost odostostnoostostnostiostost perostostkopostostniceostostvinaostostodostostobostostcostostščaost,13.636363636363635,0.0,-13.636363636363635
"I was watching the NBA finals last night, 真的太精彩了！ The Lakers’ defense was on fire, 但最后关头还是输给了对手。 Next season I’ll definitely cheer for them again, 希望他们能卷土重来！","##nonononnono li li li lu li li Li li li Lu li li ri li li lo li li la li li l li li lit li li sin li li L li li sit li li cor li li si li li lid li li, li lil li li leg li li ly li li natural li li ni li li lar li li lib li li le li li va li li Lili li li Liv li li sat li li Si li li * li",12.0,0.0,-12.0
我的new laptop **真的太快了**，boot up 只要 **五秒钟**！ 这款AI **软件**可以auto-generate **整篇报告**，**省时又省力**。 你试过那个cloud storage **吗**？**免费版**就有 **15G空间**，**超划算**！,##ooo111211 11 1 1 111 011 01 01 011 1 01 01 1 1 01 11 01 1 01 2001 01 01 2001 2001 200111 2000 2000 2000 2001 2001 2000 2001 01 2001 2000 2000 01 01 2000 2000 1999 2001 2001 01 2000 2001 2000 1999 2000 2000 2002 2001 2001 2002 2001 2000 01 2001 2002 2000 2000 1 2001 2001 1999 2001 2000 2002 2000 2001 2002 2002 2001 2002 01 2000 1999 1999 2000,42.85714285714286,0.0,-42.85714285714286
1. 我刚买的new **MacBook Pro** 真的太强了，retina display **超清晰**，battery life 也比之前的**长好多**。 2. 这个AI **模型**用了最新的transformer **架构**，training speed **快了30%**，但inference 时还是有点**卡**。 3. 你帮我debug 这段**代码**吧，error message 显示**内存溢出**，我try 了好几次都fix 不了。,"##orororsororor por por pororsorsorsoror porsorsor por porsor porsororsor poror porororkorsorsordorsorsor cor por por Por por porkor por por per por pordor por por sin por por de por poran por por en por por la por por y por por van por por mor por por va por por el por por del por por, por por con por porpor por por ser por por",40.0,0.0,-40.0
The new AI model 真的太强了，处理复杂任务一点都不费劲。 I tried debugging the code for hours 但还是找不到bug在哪儿。 这款无线耳机的降噪效果超级好，worth every penny you spend on it.,##orororkororor pororor od od od Od Od Od od Od od odod od od mor od od pod od od za od od zal od od li od odom od odnost od od z od odnono od od s od odrost od od os od od u od odzam od odm od odpor od od por od od osi osi odododod od pod pod podododnononoododomomomno,15.000000000000002,0.0,-15.000000000000002
I’ve been meaning to read that novel you recommended last month. 天气预报说明天会下雨，记得带伞出门哦。 Hopefully it won’t ruin our picnic plans though.,##janjanjanjajajajatjatjatjajajanjajanjanjatjatjanjanjaljaljaljajajaljaljanjajatjanjatjajatjajanjatjanjajaljajanjaljanjanjaijajajjanjanjenjanjanjejajajojajajejajanjjajajaijanjanjjjanjajjjjajjatjatjaljaljatjatjjjatjanjaljajjajatjjajan,5.000000000000004,0.0,-5.000000000000004
这个weekend我真的太**busy**了，要**finish**三篇report还得帮朋友**move**房子。 你**really**应该试试那家新开的火锅店，味道**super**正宗，老板还**gave**我们打折！ 我**just**发现我的手机**lost**在出租车上了，现在心情**super**复杂，不知道能不能**find**回来。,"##orororsorsorsororor por por porsorsor porsor por por Por por poror porsoror por Por Por Por porsor Por por Porsor por Poror porkor por porkor Por poror Por Porsorsor Por Poror Por porpor por por per por por sin por por de por por, por por con por por en por por y por por la por poran por por mor por porno por porar por por van por",0.0,0.0,0.0
1. 昨天的比赛 **was so intense**—最后一秒 **they scored a three-pointer** 真的 **blew my mind**！ 2. 我 **usually play basketball** 每周三次，但最近 **my knee’s been acting up** 所以 **gotta take it easy** 了。 3. 这场 **world championship** 的 **defense strategy** 太牛了，尤其是 **that last block** 简直 **game-changing**！,"##ororor por por por Por por Por Por Por por por sin sin sin por sin por Por sin por por de por porpor por porno por por con por por en por por y por por cor por por mor por por per por por, por por ser por por mi por por la por por para por por no por por van por por va por por a por por una por poran por porar por porán por por ver por por ro por por",47.61904761904761,0.0,-47.61904761904761
1. 昨天的NBA比赛太**fire**了，James **dropped** 40分还**抢**了12个篮板，简直**carry**全场！ 2. 我**plan**这个周末去**打**高尔夫，但**天气预报**说要**downpour**，可能得**cancel**了。 3. 这场**world cup**的**point**太**刺激**了，最后一分钟**绝杀**简直**让人**heart attack！,"##orororsorsorsororor por por porsorsor porsor por por Por por poror porsororsoror pororsor porororkor por por sin por porpor por por per por poran por porno por por otro por por en por pordor por por de por por, por por mor por por van por por y por por ser por por lo por por va por por el por porador por porkor por Por Por por Por",0.0,0.0,0.0
Last night’s game was insane—**那个绝杀太牛了**！ The coach said they need to **加强防守**，or the next match will be brutal. I can’t believe they lost—**这支球队实力明明不差**，just bad luck today.,##ntntntostostostrostostostostaostost korostostkorostost por por porkorkorkor kor kor korkor korkorkorost kor kor por por Por por por kor kor corkorkor cor kor korost porkor kor cor korkor cor cor kor cor por por cor kor porkor corkor kor por kor cor cor cor porkor por por sin sin por por de por poror por porpor por por con por porcor por por,0.0,0.0,0.0
The Lakers 昨晚的比赛真的太精彩了，James 又拿下了三双。 I can’t believe they lost to the Warriors by just two points in the last second—那最后一投真可惜。 如果明天的训练不加强防守，we might not even make it to the playoffs this season.,##ororororeoreoreorororooroorooreoreorooroororooreorooreororoorororaoraoraoreoreoraoraoroorooraorooraoraororaorooreoraoreorooraororooraoreoraoroororaororkororaorakororoorokororoorakorkororaororeoraorkorkorororaoreororakororor kororaora kororooro cororaora cororaorokorkor,12.903225806451612,0.0,-12.903225806451612
1. My phone 突然 **black screen** 了，得 **hard reset** 一下才能 **fix** 这个 **bug**。 2. 这个 **AI model** 的 **accuracy** 太低，我得 **fine-tune** 一下 **parameters** 才能 **reach** 90%。 3. 你 **download** 完那个 **app** 后，记得 **update** 到 **latest version**，不然会 **crash**。,##orororsorsorsororor por por porsorsor porsor por poror porsororsor porororkorsorsordorsorsorkorsor por Por por porkor por por per por por sin sin por poran por por Por Por porsor sin sin sinsorsor sin por sinsor por sin por Por sin porsor Por por sin ser por por de por por van por por en por porador por por la por por va por por ser,13.33333333333333,0.0,-13.33333333333333
"The new AI model 真的太强了，but it still struggles with low-resource languages. 我昨天升级了显卡，now my rendering speed has almost doubled. They’re rolling out 5G 基站 in our area,so expect faster mobile data soon.",",,, u u u U U U u U u u R R R r R r r r R ri R R ri r r ri ri r ri R ri ri R r ri r R R u r r kor r r ra r r por r r do r r, R R,, R r,, r r cor r r rud r r ru r r rod r r ry r r rang r rkor r r ro r r OR r r ur",9.999999999999998,0.0,-9.999999999999998
1. 昨天的比赛太**clutch**了，最后一秒**three-pointer**直接**swish**，我们队**reverse sweep**成功，简直**legendary**！ 2. 这个赛季他的**stats**爆炸，场均**double-double**，但教练还是说他**defense**太**weak**，得多练**footwork**。 3. 别看他**bench**那么久，一上场就**drop**了30分，网友都疯了，直喊“**MVP**！”“**carry**硬核”！,"##orororsorsorsororor por por porsorsor porsor por por Por por poror porsoror por Por Por por Porsor pororsororsorkor por porpor por porno por por sin por poran por por en por por per por por de por por y por por, por por con por por van por por mor por por ser por por lo por por otro por por la por por va por porar por por para por por",0.0,0.0,0.0
我的新laptop **超级卡**，可能得重装个system才能fix。 这个AI model **训练起来**特别cost performance，但效果确实很**牛**。 你那个phone **屏幕坏了**？快去apple store **看看**还能不能claim warranty。,##orororsorsorsororor por por porororkoror poror porsorsor por por Por por porkor por porsor por Por Por por Poror por Porsor porsor Por pororsor poror Por porsoror porkororor Por Por Pororor ser por porpor por por per por por de por poran por por en por porador por por la por por sin por por va por porar por por ser por Por,50.0,0.0,-50.0
1. 昨天的NBA比赛太**clutch**了，最后三秒**buzzer-beater**直接**reverse sweep**了对手！ 2. 我**favorite**的足球队又**输球**了，那个**referee**的**judgment**简直**离谱**到家。 3. 你**gym**里练**bench press**时，记得**保持呼吸**，别**伤到**自己**rotator cuff**！,"##ororororeoreoreororsorsorsororor por por porsorsor porsor por poror pororsoror porsororsor porororkorsorsorkor por por Por por porkorsororkor porsorkorsor por Por Por porsor cor por porpor por por sin por porno por por per por poran por por mor por porcor por por de por por y por por, por por con por por va por por",0.0,0.0,0.0
1. I was 正在看 *The Crown* 但是突然发现 my Wi-Fi **断了**，so frustrating! 2. 你有没有试过用 **baking soda** 洗 **水槽**？Super clean 而且 **一点儿都不贵**！ 3. My boss 让我 **加班** 到 8点，but he promised 会 **请我吃饭**—希望不是 *McDonald’s*!,"##ntntntntrantntostostost por por por Por Por Por por por con por Por por Por con por por la por por de por por en por por cor por por per por por sin por porpor por por a por por, por por mor por porno por por para por porcor por por y por porán por poran por por pot por por lo por por van por por va por por una por porkor por por otro por por encima",44.44444444444444,0.0,-44.44444444444444
这个新手机的AI功能真的太强了，it can even translate conversations in real time without lag。 我昨天试了那个cloud-based的编辑器，发现它处理大文件的时候特别稳，一点都不卡。 他们团队开发的quantum algorithm据说能提升30%的运算效率，不过还得看实际测试结果。,##ororororoororkororor porororsororor corororcorororORorororaorordororororeoror odorororiororogorororpororodoror roororodioror mororor rororrorororgorororrooror korororooror ORorornororor oororordoror yororrodoror rator,25.0,0.0,-25.0
我昨天去了那个 **supermarket** 买东西，结果发现打折的 **items** 都 **sold out** 了。 他总是 **like** 这样 **last-minute** 才告诉我，真的是 **too much** 了！ 这部电影的 **plot** 太 **cliché** 了，我看了五分钟就 **switch** 到别的 **channel** 去了。,"##eee,,, u u u U U U u U u u va va Va Va Va va va va u u Va Va U U Va Va u u van va va van Va Va Van Va Va van Va va Va va van van van Van Van Van van van va van va Va Van Van va Va van van Va Van van Van van Va van va Van Van Va van Van Va va Van Va Van va va Van van va Val Va Va Val Va va",0.0,0.0,0.0
1. 昨天的NBA比赛太**crazy**了，詹姆斯最后一秒**buzzer-beater**直接**reverse**了整个**momentum**，我们都**炸锅**了！ 2. 我**gym**里练**bench press**时突然**拉伤**了肩膀，教练说要**rest**两周，不然**old injury**会**复发**的。 3. 这场**derby**绝对**值回票价**，梅西和C罗在场上**互怼**，最后**点球大战**还**靠门柱**救了我们一命！,"##orororsorsorsororor por por porsorsor porsor por por Por por pororsor poror por Por Por Por por Poror poror Por porsoror porsor Por por sin sin por por otro por porkor por porno por por sin por Por sin sin sin Por poror sin sin sino por por, por por ser por por y por por mi por por en por porpor por por per por por de por poran por por",0.0,0.0,0.0
我的新**laptop**配置超强，i7处理器加上32G **RAM**，跑**AI model**那叫一个**smooth**。 这款**smartwatch**的**battery life**确实有点短，充一次电才撑两天，有点**disappointing**啦。 他们团队最近在做一个**blockchain**项目，技术栈全是**open-source**的，真**hardcore**！,##ooololololllLLlLllnlLLLnlnlnlLlnlnllnllLnlLnlslnlnlRLLRLnlllRRRlLRRnlnlslLLslLnlRRLlRLNLL laLLLALLanLLalLLVLLliLLlaLLlanLLmlLL,0.0,0.0,0.0
The Lakers 真的太强了，昨晚那场比赛简直是大师级表现。 I can’t believe they pulled off that last-second shot—绝杀太刺激了！ 下周对阵勇士队，希望他们能 keep the momentum going.,##ororororeoreoreorororooroorooreorooreoreorooroororooreororeororoorororaoreoreoraoraoraoroorooraoraoreorooraoreoraorooreoraoreororaoraororaororeoroororaorooraoroororeoraororooraoror cororaora corororkororororiorooro cororoororoorooroooroorokorororo cororaor coror,17.647058823529417,0.0,-17.647058823529417
